packet_id, eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,IP_prot_name,hdr_chksm,src_ip,dst_ip
201921018489,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,25313,253,6,TCP,27206,34.218.119.33,172.31.15.212
201921018481,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,25569,253,6,TCP,11590,34.218.119.33,172.31.15.212
201921018482,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,16957,255,6,TCP,24296,172.31.15.212,34.218.119.33
201921018483,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,17213,255,6,TCP,21992,172.31.15.212,34.218.119.33
201921018484,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,25825,253,6,TCP,26694,34.218.119.33,172.31.15.212
201921018485,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,26081,253,6,TCP,26438,34.218.119.33,172.31.15.212
201921018496,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,26337,253,6,TCP,10822,34.218.119.33,172.31.15.212
201921018497,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,17469,255,6,TCP,23784,172.31.15.212,34.218.119.33
201921018498,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,17725,255,6,TCP,21480,172.31.15.212,34.218.119.33
201921018499,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,26593,253,6,TCP,25926,34.218.119.33,172.31.15.212
201921018491,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,26849,253,6,TCP,25670,34.218.119.33,172.31.15.212
201921018492,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,27105,253,6,TCP,10054,34.218.119.33,172.31.15.212
201921018493,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,17981,255,6,TCP,23272,172.31.15.212,34.218.119.33
201921018494,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,18237,255,6,TCP,20968,172.31.15.212,34.218.119.33
201921018495,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,27361,253,6,TCP,25158,34.218.119.33,172.31.15.212
201921018496,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,27617,253,6,TCP,24902,34.218.119.33,172.31.15.212
201921018497,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,27873,253,6,TCP,9286,34.218.119.33,172.31.15.212
201921018498,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,18493,255,6,TCP,22760,172.31.15.212,34.218.119.33
201921018499,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,18749,255,6,TCP,20456,172.31.15.212,34.218.119.33
201921018491,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,28129,253,6,TCP,24390,34.218.119.33,172.31.15.212
201921018492,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,28385,253,6,TCP,24134,34.218.119.33,172.31.15.212
201921018493,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,19005,255,6,TCP,22248,172.31.15.212,34.218.119.33
201921018494,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,22533,19261,255,6,TCP,24035,172.31.15.212,34.218.119.33
201921018495,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,28641,253,6,TCP,23878,34.218.119.33,172.31.15.212
201921018496,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,28897,253,6,TCP,23622,34.218.119.33,172.31.15.212
201921018497,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,29153,253,6,TCP,8006,34.218.119.33,172.31.15.212
201921018498,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,19517,255,6,TCP,21736,172.31.15.212,34.218.119.33
201921018499,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,19773,255,6,TCP,19432,172.31.15.212,34.218.119.33
201921018491,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,29409,253,6,TCP,23110,34.218.119.33,172.31.15.212
201921018492,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,29665,253,6,TCP,22854,34.218.119.33,172.31.15.212
201921018503,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,29921,253,6,TCP,7238,34.218.119.33,172.31.15.212
201921018504,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,20029,255,6,TCP,21224,172.31.15.212,34.218.119.33
201921018505,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,20285,255,6,TCP,18920,172.31.15.212,34.218.119.33
201921018506,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,30177,253,6,TCP,22342,34.218.119.33,172.31.15.212
201921018507,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,30433,253,6,TCP,22086,34.218.119.33,172.31.15.212
201921018508,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,30689,253,6,TCP,6470,34.218.119.33,172.31.15.212
201921018509,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,20541,255,6,TCP,20712,172.31.15.212,34.218.119.33
201921018501,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,20797,255,6,TCP,18408,172.31.15.212,34.218.119.33
201921018502,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,30945,253,6,TCP,21574,34.218.119.33,172.31.15.212
201921018503,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,31201,253,6,TCP,21318,34.218.119.33,172.31.15.212
201921018504,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,31457,253,6,TCP,5702,34.218.119.33,172.31.15.212
201921018505,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,21053,255,6,TCP,20200,172.31.15.212,34.218.119.33
201921018506,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,21309,255,6,TCP,17896,172.31.15.212,34.218.119.33
201921018507,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,31713,253,6,TCP,20806,34.218.119.33,172.31.15.212
201921018508,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,31969,253,6,TCP,20550,34.218.119.33,172.31.15.212
201921018509,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,32225,253,6,TCP,4934,34.218.119.33,172.31.15.212
201921018501,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,21565,255,6,TCP,19688,172.31.15.212,34.218.119.33
201921018502,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,21821,255,6,TCP,17384,172.31.15.212,34.218.119.33
201921018503,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,32481,253,6,TCP,20038,34.218.119.33,172.31.15.212
201921018504,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,32737,253,6,TCP,19782,34.218.119.33,172.31.15.212
201921018505,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,32993,253,6,TCP,4166,34.218.119.33,172.31.15.212
201921018506,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,22077,255,6,TCP,19176,172.31.15.212,34.218.119.33
201921018507,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,22333,255,6,TCP,16872,172.31.15.212,34.218.119.33
201921018508,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,33249,253,6,TCP,19270,34.218.119.33,172.31.15.212
201921018509,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,33505,253,6,TCP,19014,34.218.119.33,172.31.15.212
201921018511,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,22589,255,6,TCP,18664,172.31.15.212,34.218.119.33
201921018512,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,22533,22845,255,6,TCP,20451,172.31.15.212,34.218.119.33
201921018513,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,33761,253,6,TCP,18758,34.218.119.33,172.31.15.212
201921018514,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,34017,253,6,TCP,18502,34.218.119.33,172.31.15.212
201921018515,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,43008,34273,253,6,TCP,54085,34.218.119.33,172.31.15.212
