eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,hdr_chksm,src_ip,dst_ip
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,31878,128,17,24622,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,32646,128,17,23854,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,32902,128,17,23598,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,33158,128,17,23342,192.168.1.158,192.168.1.255
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15104,36159,64,17,11127,192.168.1.168,192.168.1.1
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15104,36415,64,17,10871,192.168.1.168,192.168.1.1
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,19200,4224,64,17,39030,192.168.1.1,192.168.1.168
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,38144,20048,64,17,4262,192.168.1.1,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15360,9848,64,6,25921,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,15360,0,56,6,35777,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,10104,64,6,27713,192.168.1.168,165.227.24.253
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,14594,10360,64,6,26175,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,13312,26525,56,6,11300,165.227.24.253,192.168.1.168
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,56325,26781,56,6,33566,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,10616,64,6,27201,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,56325,27037,56,6,33310,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,10872,64,6,26945,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,45568,27293,56,6,43811,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,11128,64,6,26689,192.168.1.168,165.227.24.253
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,45568,11384,64,6,59712,192.168.1.168,165.227.24.253
